restaurantName,category,address,phone,hours,status,website,mapsLocation
Bobo The Boba,· Bubble tea store,3519 Van Buren Boulevard #103 , (951) 729-5829,· Opens 11:30 AM,Closed,https://bobotheboba.appfront.app/,"https://www.google.com/maps/dir//Bobo+The+Boba,+3519+Van+Buren+Boulevard+%23103,+Riverside,+CA+92503/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb1b99cffa235:0xac93080db08cade7?sa=X&ved=1t:57443&ictx=111"
FENG CHA Riverside,· Bubble tea store,3430 La Sierra Ave # A , (951) 299-8320,· Opens 11 AM,Closed,https://www.fengchausa.com/,"https://www.google.com/maps/dir//FENG+CHA+Riverside,+3430+La+Sierra+Ave+%23+A,+Riverside,+CA+92503/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb7fd3e71e305:0xb8cbb84110d6713b?sa=X&ved=1t:57443&ictx=111"
Its Boba Time - Riverside,· Bubble tea store,10082 Magnolia Ave , (951) 299-8281,· Opens 11 AM,Closed,https://itsbobatime.com/,"https://www.google.com/maps/dir//Its+Boba+Time+-+Riverside,+10082+Magnolia+Ave,+Riverside,+CA+92503/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb77e6bc02041:0xc7fd66fe44472abc?sa=X&ved=1t:57443&ictx=111"
Boba Cafe,· Bubble tea store,1223 University Ave , (951) 680-9998,· Opens 11 AM,Closed,http://boba-cafe.local-cafes.com/,"https://www.google.com/maps/dir//Boba+Cafe,+1223+University+Ave,+Riverside,+CA+92507/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcae47554d7c43:0x675b15f5bf17a669?sa=X&ved=1t:57443&ictx=111"
Tim Boba,· Tea house,10175 Magnolia Ave , (951) 729-5966,· Opens 12 PM,Closed,https://www.timboba.com/,"https://www.google.com/maps/dir//Tim+Boba,+10175+Magnolia+Ave,+Riverside,+CA+92503/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb7006e32ab2f:0x4d02e8b1babc214f?sa=X&ved=1t:57443&ictx=111"
Earth Cafe,· Bubble tea store,10051 Magnolia Ave Ste B4,,· Opens 11 AM,Closed,,"https://www.google.com/maps/dir//California,+Riverside,+Magnolia+Ave,+Earth+Cafe%E9%82%AE%E6%94%BF%E7%BC%96%E7%A0%81:+92503/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb7bf3a140d39:0x42c77f81ab25a702?sa=X&ved=1t:57443&ictx=111"
Krak Boba,· Bubble tea store,3907 Chicago Ave STE B , (951) 742-5341,· Opens 10 AM,Closed,http://krakboba.com/,"https://www.google.com/maps/dir//Krak+Boba,+3907+Chicago+Ave+STE+B,+Riverside,+CA+92507/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcafca548f9deb:0x985a70f49f3dd497?sa=X&ved=1t:57443&ictx=111"
Loose Leaf Boba Company,· Bubble tea store,3605 Market St Unit 2 , (951) 460-0900,· Opens 11 AM,Closed,https://www.bobacompany.com/,"https://www.google.com/maps/dir//Loose+Leaf+Boba+Company,+3605+Market+St+Unit+2,+Riverside,+CA+92501/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb141ec78ec77:0xf3d8432b3322501b?sa=X&ved=1t:57443&ictx=111"
Tim Boba,· Tea house,1450 University Ave Ste N , (951) 462-1929,· Opens 12 PM,Closed,http://www.timboba.com/,"https://www.google.com/maps/dir//Tim+Boba,+1450+University+Ave+Ste+N,+Riverside,+CA+92507/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcae3eb0aa310d:0xc96a5818c6645746?sa=X&ved=1t:57443&ictx=111"
Tastea Riverside,· Bubble tea store,11130 Magnolia Ave Unit C , (951) 588-8138,· Opens 11 AM,Closed,http://www.gotastea.com/,"https://www.google.com/maps/dir//Tastea+Riverside,+11130+Magnolia+Ave+Unit+C,+Riverside,+CA+92505/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x80dcb75a3bbde1bb:0x75b0257d6172b0b?sa=X&ved=1t:57443&ictx=111"
