restaurantName,category,address,phone,hours,website
Bobo The Boba,· Bubble tea store,3519 Van Buren Boulevard #103 , (951) 729-5829,· Opens 11:30 AM,https://bobotheboba.appfront.app/
FENG CHA Riverside,· Bubble tea store,3430 La Sierra Ave # A , (951) 299-8320,· Opens 11 AM,https://www.fengchausa.com/
Its Boba Time - Riverside,· Bubble tea store,10082 Magnolia Ave , (951) 299-8281,· Opens 11 AM,https://itsbobatime.com/
Boba Cafe,· Bubble tea store,1223 University Ave , (951) 680-9998,· Opens 11 AM,http://boba-cafe.local-cafes.com/
Tim Boba,· Tea house,10175 Magnolia Ave , (951) 729-5966,· Opens 12 PM,https://www.timboba.com/
Earth Cafe,· Bubble tea store,10051 Magnolia Ave Ste B4,,· Opens 11 AM,
Krak Boba,· Bubble tea store,3907 Chicago Ave STE B , (951) 742-5341,· Opens 10 AM,http://krakboba.com/
Loose Leaf Boba Company,· Bubble tea store,3605 Market St Unit 2 , (951) 460-0900,· Opens 11 AM,https://www.bobacompany.com/
Tim Boba,· Tea house,1450 University Ave Ste N , (951) 462-1929,· Opens 12 PM,http://www.timboba.com/
Tastea Riverside,· Bubble tea store,11130 Magnolia Ave Unit C , (951) 588-8138,· Opens 11 AM,http://www.gotastea.com/
R&B Tea Riverside,· Bubble tea store,1889 University Ave #105 , (951) 405-8843,· Opens 11 AM,https://order.snackpass.co/RandB-Tea-Riverside-6231ef31c8e36c016ea5f38f
Sleepy Kitea,· Bubble tea store,1725 Spruce St STE 103 , (951) 777-1334,· Opens 11 AM,https://order.online/business/sleepy-kitea-11191595
Sharetea Boba & Coffee Shop Riverside,· Bubble tea store,10920 Magnolia Ave STE 103 , (951) 406-5165,· Opens 11 AM,
Boba Station,· Bubble tea store,1299 Galleria At Tyler #6508 , (909) 780-6508,· Opens 11 AM,https://www.bobastationus.com/
Boba Tea House,· Bubble tea store,767 W Blaine St , (951) 784-7148,· Opens 11 AM,http://www.bobateahouse.net/
Cafe Bottega,· Bubble tea store,6161 Van Buren Boulevard STE 102 , (951) 373-8028,· Opens 7 AM,http://www.cafebottega.com/
Lollicup Boba & Tea | UCR,· Bubble tea store,755 W Linden St B-1300 , (951) 827-3085,· Opens 10:30 AM,https://lollicup.com/
Bobaloca,· Bubble tea store,19009 Van Buren Boulevard STE 122 , (951) 789-8646,· Opens 12 PM,https://order.online/store/bobaloca-riverside-23389446/
U S Donuts,· Donut shop,3720 Sunnyside Dr , (951) 823-0797,· Opens 4 AM,
TRA BOBA & SNACK,· Bubble tea store,3740 Iowa Ave STE 103 , (951) 742-7002,· Opens 12 PM,https://order.online/store/tra-boba-&-snack-riverside-24938605/?hideModal=true&pickup=true
